,0
facebook_spend_adstock,-0.0014703286062083386
facebook_spend_adstock_lag1,-0.0017271145975763745
facebook_spend_adstock_lag2,-0.0017097321909046081
facebook_spend_adstock_lag4,-0.0005164971429740949
tiktok_spend_adstock,-0.0008454650225400852
tiktok_spend_adstock_lag1,0.0026053326632489884
tiktok_spend_adstock_lag2,0.011493718762720477
tiktok_spend_adstock_lag4,0.014389416395729342
instagram_spend_adstock,0.006411776400190167
instagram_spend_adstock_lag1,0.011854584813577993
instagram_spend_adstock_lag2,0.017791648290213537
instagram_spend_adstock_lag4,0.01921587923074699
snapchat_spend_adstock,0.020917947167457797
snapchat_spend_adstock_lag1,0.01613287567144225
snapchat_spend_adstock_lag2,0.01674737957096739
snapchat_spend_adstock_lag4,0.014556331393961373
fourier_sin_1,-0.010045061192884385
fourier_cos_1,0.0017358723604061063
fourier_sin_2,-0.0015144709046237387
fourier_cos_2,-0.019174527355838022
fourier_sin_3,0.014770048574112632
fourier_cos_3,-0.010113633095233852
trend_weeks,0.01472472994661945
